AverageTemperature,City,Country,Year,Month
24.008,0.0,1.0,1843.0,3.0
20.514699999999998,0.0,1.0,1843.0,4.0
23.4695,0.0,1.0,1843.0,5.0
25.7926,0.0,1.0,1843.0,6.0
26.667499999999997,0.0,1.0,1843.0,7.0
26.592599999999997,0.0,1.0,1843.0,8.0
22.951700000000002,0.0,1.0,1843.0,9.0
18.4133,0.0,1.0,1843.0,10.0
13.7246,0.0,1.0,1843.0,11.0
12.150200000000002,0.0,1.0,1843.0,12.0
11.1689,0.0,1.0,1844.0,1.0
13.2892,0.0,1.0,1844.0,2.0
16.4428,0.0,1.0,1844.0,3.0
20.133499999999998,0.0,1.0,1844.0,4.0
23.3858,0.0,1.0,1844.0,5.0
25.8421,0.0,1.0,1844.0,6.0
27.5101,0.0,1.0,1844.0,7.0
26.8089,0.0,1.0,1844.0,8.0
23.723,0.0,1.0,1844.0,9.0
19.279600000000002,0.0,1.0,1844.0,10.0
13.318100000000001,0.0,1.0,1844.0,11.0
13.152600000000001,0.0,1.0,1844.0,12.0
12.132900000000001,0.0,1.0,1845.0,1.0
12.5134,0.0,1.0,1845.0,2.0
15.784899999999999,0.0,1.0,1845.0,3.0
19.857,0.0,1.0,1845.0,4.0
23.3872,0.0,1.0,1845.0,5.0
26.594299999999997,0.0,1.0,1845.0,6.0
27.7072,0.0,1.0,1845.0,7.0
26.793,0.0,1.0,1845.0,8.0
24.5594,0.0,1.0,1845.0,9.0
19.363099999999996,0.0,1.0,1845.0,10.0
15.381499999999999,0.0,1.0,1845.0,11.0
13.7137,0.0,1.0,1845.0,12.0
11.016000000000002,0.0,1.0,1846.0,1.0
12.0715,0.0,1.0,1846.0,2.0
15.746199999999998,0.0,1.0,1846.0,3.0
19.5409,0.0,1.0,1846.0,4.0
23.3989,0.0,1.0,1846.0,5.0
26.049,0.0,1.0,1846.0,6.0
27.655699999999996,0.0,1.0,1846.0,7.0
27.0199,0.0,1.0,1846.0,8.0
24.7674,0.0,1.0,1846.0,9.0
25.804,0.0,1.0,1846.0,10.0
15.5584,0.0,1.0,1846.0,11.0
26.763,0.0,1.0,1846.0,12.0
12.717200000000002,0.0,1.0,1847.0,1.0
13.0388,0.0,1.0,1847.0,2.0
15.462100000000001,0.0,1.0,1847.0,3.0
19.5882,0.0,1.0,1847.0,4.0
23.212200000000003,0.0,1.0,1847.0,5.0
25.9378,0.0,1.0,1847.0,6.0
26.967899999999997,0.0,1.0,1847.0,7.0
26.889999999999997,0.0,1.0,1847.0,8.0
23.9364,0.0,1.0,1847.0,9.0
19.445199999999996,0.0,1.0,1847.0,10.0
16.7136,0.0,1.0,1847.0,11.0
14.4894,0.0,1.0,1847.0,12.0
16.153,0.0,1.0,1848.0,1.0
15.5041,0.0,1.0,1848.0,2.0
18.216600000000003,0.0,1.0,1848.0,3.0
21.072,0.0,1.0,1848.0,4.0
24.076100000000004,0.0,1.0,1848.0,5.0
26.5236,0.0,1.0,1848.0,6.0
27.7668,0.0,1.0,1848.0,7.0
26.805100000000003,0.0,1.0,1848.0,8.0
24.7873,0.0,1.0,1848.0,9.0
22.0409,0.0,1.0,1848.0,10.0
17.0383,0.0,1.0,1848.0,11.0
15.4117,0.0,1.0,1848.0,12.0
26.05,0.0,1.0,1849.0,1.0
24.535,0.0,1.0,1849.0,2.0
25.167,0.0,1.0,1849.0,3.0
23.92,0.0,1.0,1849.0,4.0
25.174,0.0,1.0,1849.0,5.0
27.128,0.0,1.0,1849.0,6.0
27.706,0.0,1.0,1849.0,7.0
27.537,0.0,1.0,1849.0,8.0
26.565,0.0,1.0,1849.0,9.0
26.073,0.0,1.0,1849.0,10.0
26.993,0.0,1.0,1849.0,11.0
25.193,0.0,1.0,1849.0,12.0
26.106,0.0,1.0,1850.0,1.0
25.635,0.0,1.0,1850.0,2.0
24.776,0.0,1.0,1850.0,3.0
24.33,0.0,1.0,1850.0,4.0
24.201,0.0,1.0,1850.0,5.0
26.773,0.0,1.0,1850.0,6.0
27.771,0.0,1.0,1850.0,7.0
27.625,0.0,1.0,1850.0,8.0
26.797,0.0,1.0,1850.0,9.0
26.316,0.0,1.0,1850.0,10.0
25.796,0.0,1.0,1850.0,11.0
24.262,0.0,1.0,1850.0,12.0
25.296,0.0,1.0,1851.0,1.0
23.974,0.0,1.0,1851.0,2.0
23.677,0.0,1.0,1851.0,3.0
24.349,0.0,1.0,1851.0,4.0
26.33,0.0,1.0,1851.0,5.0
27.467,0.0,1.0,1851.0,6.0
27.163,0.0,1.0,1851.0,7.0
27.416,0.0,1.0,1851.0,8.0
26.277,0.0,1.0,1851.0,9.0
26.591,0.0,1.0,1851.0,10.0
25.243,0.0,1.0,1851.0,11.0
25.528,0.0,1.0,1851.0,12.0
